"Title","Subtitle","Downloads"
"The Silversmith's Handbook","George E. Gee","90"
"The Lathe & Its Uses","James Lukin","89"
"U.S. Patent 4,293,314: Gelled Fuel-Air Explosive","Bertram O. Stull","89"
"The Boy's Book of Industrial Information","Elisha Noyce","89"
"A Story of the Telegraph","John Murray","89"
"Collotype and Photo-lithography","Julius Schnauss","89"
"The Earliest Electromagnetic Instruments","Robert A. Chipman","89"
"The Mastery of the Air","William J. Claxton","89"
"La Vettura Automobile: sue parti - suo funzionamento (Italian)","Alamanno De Maria","89"
"Hawkins Electrical Guide v. 06 (of 10)","N. Hawkins","89"
"Scientific American Supplement, No. 488, May 9, 1885","Various","88"
"Cheating the Junk-Pile: The Purchase and Maintenance of Household Equipments","Ethel R. Peyser","88"
"An Illustrated Directory of the Specifications of All Domestic and Foreign Motor-cars and Motor Business Wagons, Gasoline, Steam and Electric, Sold in This Country, 1907","the automotive business magazine Motor","88"
"The Evolution of Modern Band Saw Mills for Sawing Logs","D. Clint Prescott","88"
"Non-technical chats on iron and steel, and their application to modern industry","La Verne W. Spring","88"
"Scientific American Supplement, No. 384, May 12, 1883","Various","88"
"Precision locating and dividing methods","Anonymous","88"
"Records of Steam Boiler Explosions","Edward Bindon Marten","88"
"Great Facts","Frederick C. Bakewell","87"
"Verklaring van het stoomwerktuig (Dutch)","N/A","87"
"Origin of modern calculating machines","J. A. V. Turck","87"
"Scientific American Supplement, No. 795, March 28, 1891","Various","87"
"Every-day Science: Volume 7. The Conquest of Time and Space","Henry Smith Williams and Edward Huntington Williams","87"
"Forge Work","William L. Ilgen","87"
"Hawkins Electrical Guide v. 03 (of 10)","N. Hawkins","87"
"The Boy's Book of New Inventions","Harry E. Maule","87"
"Motor-car principles; the gasoline automobile","Roger B. Whitman","86"
"Preliminary Specifications: Programmed Data Processor Model Three (PDP-3)","Digital Equipment Corporation","86"
"À terre & en l'air... (French)","Félix Nadar","86"
"QREAD, Etext Reader for Windows","Dan Scavezze","86"
"Petroleum","Albert Lidgett","86"
"How to Use and Enjoy Your New Frigidaire Refrigerator","General Motors Corporation. Frigidaire Division","86"
"How to Enamel","Howard M. Chapin","86"
"Ford Manual for Owners and Operators of Ford Cars and Trucks (1919)","Ford Motor Company","86"
"Die Technik der Lastenförderung einst und jetzt (German)","Otto Kammerer","86"
"Ebooks: Neither E, Nor Books","Cory Doctorow","86"
"Instructions on Modern American Bridge Building","G. B. N. Tower","86"
"Standard Paper-Bag Cookery","Emma Paddock Telford","85"
"The deadly thinkers","William Gray Beyer","85"
"Sewage Disposal Works: Their Design and Construction","William Charles Easdale","85"
"Scientific American Supplement, No. 286, June 25, 1881","Various","85"
"Modern Cotton Spinning Machinery, Its Principles and Construction","Joseph Nasmith","85"
"Pumps and Hydraulics, Part 2 (of 2)","N. Hawkins","85"
"Harness making","N/A","85"
"Maxims and Instructions for the Boiler Room","N. Hawkins","85"
"Lectures on Ventilation","Lewis W. Leeds","85"
"A Course of Lectures on the Principles of Domestic Economy and Cookery","Juliet Corson","85"
"A Treatise on Staff Making and Pivoting","Eugene Edward Hall","84"
"Time and Clocks: A Description of Ancient and Modern Methods of Measuring Time","Sir Henry H. Cunynghame","84"
"The Library of Work and Play: Guide and Index","Cheshire Lowton Boone","84"
"Learn to Invent, First Steps for Beginners Young and Old","Samuel Evans Clark","84"
"From the Print Media to the Internet","Marie Lebert","84"
"Engineers and their triumphs","F. M. Holmes","84"
"Transactions of the American Society of Civil Engineers, vol. LXVIII, Sept. 1910","George C. Clarke","84"
"Transactions of the American Society of Civil Engineers, vol. LXX, Dec. 1910","Ralph C. Taggart","84"
"Airplane Photography","Herbert Eugene Ives","84"
"The Telephone","A. E. Dolbear","83"
"The History of Ink, Including Its Etymology, Chemistry, and Bibliography","Thaddeus Davids","83"
"Marvels of Modern Science","Paul Severing","83"
"Samuel F. B. Morse, His Letters and Journals","Samuel Finley Breese Morse","83"
"My Airships; The Story of My Life","Alberto Santos-Dumont","83"
"American Inventions and Inventors","William A. Mowry and Arthur May Mowry","83"
"Earthwork Slips and Subsidences upon Public Works","John Newman","83"
"Practical forging and art smithing","Thomas F. Googerty","82"
"The Second Boys' Book of Model Aeroplanes","Francis A. Collins","82"
"Illustrations of the Croton Aqueduct","F. B. Tower","82"
"Das lebende Lichtbild: Entwicklung, Wesen und Bedeutung des Kinematographen (German)","Franz Paul Liesegang","82"
"Hertzian Wave Wireless Telegraphy","Sir J. A. Fleming","82"
"L'ebook a 40 ans (1971-2011) (French)","Marie Lebert","82"
"Scientific American Supplement, No. 460, October 25, 1884","Various","82"
"Transactions of the American Society of Civil Engineers, Vol. LXVIII, Sept. 1910","Alfred Noble","82"
"Vision by radio, radio photographs, radio photograms","C. Francis Jenkins","81"
"Primary Handwork","Ella Victoria Dobbs","81"
"The Mentor: Photography, Vol. 6, Num. 12, Serial No. 160, August 1, 1918","Paul Anderson","81"
"A Historical Account of Useful Inventions and Scientific Discoveries","George Grant","81"
"Lead Smelting and Refining, With Some Notes on Lead Mining","N/A","81"
"Tinting and toning of Eastman positive motion picture film :  Second edition—revised","Eastman Kodak Company","81"
"The British Journal of Photography, No. 613, Vol. XIX, February 2, 1872","Various","80"
"Designs for Crazy Daisy Winder :  Crochet Time Cut in Half","Esther Parnell Hewlett","80"
"Aeroplanes","James Slough Zerbe","80"
"Transactions of the American Society of Civil Engineers, Vol. LXX, Dec. 1910","B. S. Randolph","80"
"Interviews (1998-2001)","Marie Lebert","80"
"Scientific American Supplement, No. 520, December 19, 1885","Various","80"
"Young Engineer's Guide","J. V. Rohan","80"
"Automata Old and New","Conrad William Cooke","80"
"A Manual of Photographic Chemistry, Including the Practice of the Collodion Process","T. Frederick Hardwich","80"
"The Preparation of Plantation Rubber","Sidney Morgan","80"
"Inventing for Boys","A. Frederick Collins","79"
"Flying the Atlantic in Sixteen Hours","Sir Arthur Whitten Brown","79"
"The glue book :  How to select, prepare and use glue","J. A. Taggart","79"
"La maniere d'amolir les os, et de faire cuire toutes sortes de viandes en fort peu de temps, & à peu de frais. (French)","Denis Papin","79"
"Color Cement Handicraft","Pedro J. Lemos and Reta A. Lemos","79"
"Scientific American Supplement, No. 643,  April 28, 1888","Various","79"
"The Methods of Glass Blowing and of Working Silica in the Oxy-Gas Flame","W. A. Shenstone","79"
"Papierprüfung: Eine Anleitung zum Untersuchen von Papier (German)","Wilhelm Herzberg","78"
"Harper's indoor book for boys","Joseph H. Adams","78"
"The consumer viewpoint :  covering vital phases of manufacturing and selling household devices","Mildred Maddocks Bentley","78"
"Scientific American Supplement, No. 1082, September 26, 1896","Various","78"
"The Anatomy of Bridgework","William Henry Thorpe","77"
"Applied Design for Printers","Harry Lawrence Gage","77"
"Glass and Glass Manufacture","Percival Marson","77"
"Scientific American Supplement, No. 467, December 13, 1884","Various","77"
"IBM System 360 RPG Debugging Template and Keypunch Card","Anonymous","77"
"The manufacture of earth colours :  With thirty-one illustrations","Josef Bersch","76"
"Elastic and non-elastic narrow fabrics","Samuel Brown","76"
"A boy's text book on gas engines :  a book for boys describing and explaining in simple language the automobile gas engine","Fay Leone Faurote","76"
"Diamonds","William Crookes","76"
"The Pneumatic Despatch Tube System of the Batcheller Pneumatic Tube Co.","Birney C. Batcheller","76"
"History of the Transformer","Friedrich Uppenborn","76"
"Scientific American Supplement, No. 458, October 11, 1884","Various","76"
"Experiments on the Spoilage of Tomato Ketchup","A. W. Bitting","76"
"How to Make a Shoe","John Parker Headley","76"
"Home-made cider vinegar","Walter G. Sackett","76"
"Painting by Immersion and by Compressed Air: A Practical Handbook","Arthur Seymour Jennings","75"
"Le Téléphone, le Microphone et le Phonographe (French)","comte Th. Du Moncel","75"
"Survival at Altitude for Heavy and Very Heavy Bomber Crews","2nd. Altitude Indoctrination Unit United States. Army Air Forces. Air Force","75"
"Scientific American Supplement, No. 415, December 15, 1883","Various","75"
"Young's Demonstrative Translation of Scientific Secrets","Daniel Young","75"
"Scientific American Supplement, No. 446, July 19, 1884","Various","75"
"Scientific American Supplement, No. 401, September 8, 1883","Various","75"
"Cyclopedia of Telephony and Telegraphy, Vol. 2","American School of Correspondence","74"
"Electricity in Locomotion","Adam Gowens Whyte","74"
"Rough and Tumble Engineering","James H. Maggard","74"
"The Jargon File, Version 4.0.0, 24 Jul 1996","N/A","74"
"Scientific American Supplement, No. 799, April 25, 1891","Various","74"
"Scientific American Supplement, No. 794, March 21, 1891","Various","74"
"Correlated courses in woodwork and mechanical drawing","Ira Samuel Griffith","74"
"Direct Conversion of Energy","William R. Corliss","74"
"Scientific American Supplement, No. 717,  September  28, 1889","Various","74"
"Der Vogelflug als Grundlage der Fliegekunst (German)","Otto Lilienthal","74"
"Signalling across space without wires","Sir Oliver Lodge","74"
"Transactions of the American Society of Civil Engineers, Vol. LXVIII, Sept. 1910","Charles W. Raymond","73"
"Appletons' Popular Science Monthly, January 1899","Various","73"
"Scientific American Supplement, No. 315,  January 14, 1882","Various","73"
"Pandora's Millions","George O. Smith","73"
"To Your Kitchen From Mine","Betty Newton","73"
"Masters of Space","Walter Kellogg Towers","73"
"How to Make Draperies","Singer Sewing Machine Company","73"
"Gas and Oil Engines, Simply Explained","Walter C. Runciman","73"
"Twentieth Century Inventions: A Forecast","George Sutherland","73"
"Textile Fabrics","Daniel Rock","73"
"Fulton's ""Steam Battery"": Blockship and Catamaran","Howard Irving Chapelle","73"
"Little Masterpieces of Science: Invention and Discovery","N/A","73"
"Popular Technology; or, Professions and Trades. Vol. 2 (of 2)","Edward Hazen","73"
"Appletons' Popular Science Monthly, December 1899","Various","73"
"Scientific American Supplement, No. 455, September 20, 1884","Various","73"
"Scientific American Supplement, No. 288, July 9, 1881","Various","73"
"Recent discussions on the abolition of patents for inventions in the United Kingdom, France, Germany, and the Netherlands :  Evidence, speeches, and papers in its favour","N/A","73"
"The Quarterly Journal of Science, Literature and the Arts, July-December, 1827","Various","73"
"Forty Centuries of Ink","David Nunes Carvalho","73"
"Trips in the Life of a Locomotive Engineer","Henry Dawson","72"
"The Story of the Atlantic Cable","Sir Charles Bright","72"
"The Ice Crop: How to Harvest, Store, Ship and Use Ice","Theron L. Hiles","72"
"The Curtiss Aviation Book","Glenn Hammond Curtiss and Augustus Post","72"
"Stories of Useful Inventions","S. E. Forman","72"
"Locomotive Engine Running and Management","Angus Sinclair","71"
"The Boys' Book of Model Aeroplanes","Francis A. Collins","71"
"Deeds Barn and the Self Starter","Anonymous","71"
"Darstellende Geometrie des Geländes (German)","Rudolf Rothe","71"
"Rubber Hand Stamps and the Manipulation of Rubber","T. O'Conor Sloane","71"
"Scientific American Supplement, No. 787, January 31, 1891","Various","71"
"Scientific American Supplement, No. 508, September 26, 1885","Various","71"
"Transactions of the American Society of Civil Engineers, Vol. LXX, Dec. 1910","J. A. Bensel","71"
"The construction and maintenance of earth roads","Richard Roswell Lyman","71"
"Appletons' Popular Science Monthly, February 1900","Various","70"
"Hawkins Electrical Guide v. 07 (of 10)","N. Hawkins","70"
"The Boy Inventors' Radio Telephone","Richard Bonner","70"
"The Flying Saucers are Real","Donald E. Keyhoe","70"
"Knott's pop-corn book","N/A","70"
"'Return Loads' to Increase Transport Resources by Avoiding Waste of Empty Vehicle Running.","United States. Council of National Defense. Highways Transport Committee","70"
"Tomato products: pulp, ketchup, and chili sauce.","National Canners Association, W. D. Bigelow, and A. E. Stevenson","70"
"Le Livre 010101, Tome 2 (1998-2003) (French)","Marie Lebert","69"
"Scientific American Supplement, No. 497, July 11, 1885","Various","69"
"Scientific American Supplement No. 822, October 3, 1891","Various","69"
"Scientific American Supplement, No. 362, December 9, 1882","Various","69"
"The Municipal and Sanitary Engineer's Handbook","H. Percy Boulnois","69"
"The Art of Inventing","Edwin J. Prindle","69"
"Appletons' Popular Science Monthly, October 1899","Various","69"
"The Steam Engine Familiarly Explained and Illustrated","Dionysius Lardner","69"
"Historic Inventions","Rupert Sargent Holland","68"
"Putnam's Automobile Handbook: The Care and Management of the Modern Motor-Car","H. Clifford Brokaw and Charles A. Starr","68"
"Wireless Possibilities","A. M. Low","68"
"Tunneling: A Practical Treatise.","Charles Prelini","68"
"The Telephone in America: Bell Telephone System","Anonymous","68"
"Emerson Radio Model 39 Warranty Card","Anonymous","68"
"Die Säge: Ein Rückblick auf vier Jahrtausende (German)","Franz M. Feldhaus","67"
"Catalogue of Practical and Scientific Books","Henry Carey Baird & Co.","67"
"Hardware, estimating, and mill design","N/A","67"
"The Automatic Toy Works","New York Automatic Toy Works","67"
"How to get an air job","Jack Byrne","67"
"The Stoker's Catechism","W. J. Connor","67"
"Engineering Bulletin No 1: Boiler and Furnace Testing","Rufus T. Strohm","67"
"Scientific American Supplement, No. 358, November 11, 1882","Various","67"
"Self-Help Mechanical Drawing: An Educational Treatise","N. Hawkins","67"
"Cotton Weaving and Designing","John T. Taylor","67"
"Scientific American Supplement, No. 299, September 24, 1881","Various","67"
"Concrete Construction for the Home and the Farm","Atlas Portland Cement Company","67"
"Scientific American Supplement, No. 829, November 21, 1891","Various","67"
"Catalogue of Practical & Scientific Books","Henry Carey Baird & Co.","66"
"A Manual of the Hand Lathe","Egbert P. Watson","66"
"Appletons' Popular Science Monthly, June 1899","Various","66"
"Hawkins Electrical Guide v. 05 (of 10)","N. Hawkins","66"
"Scientific American Supplement, No. 1157, March 5, 1898","Various","65"
"Ketchup: Methods of Manufacture; Microscopic Examination","K. G. Bitting and A. W. Bitting","65"
"Scientific American Supplement, No. 598, June 18, 1887","Various","65"
"Rock Blasting","George G. André","65"
"Tractor Principles","Roger B. Whitman","65"
"Synthetic Tannins, Their Synthesis, Industrial Production and Application","Georg Grasser","65"
"Sciopticon: Einführung in die Projections-Kunst (German)","Franz Paul Liesegang","65"
"Transactions of the American Society of Civil Engineers, Vol. LXX, Dec. 1910","Various","65"
"A Manual of Pyrotechny; or, A Familiar System of Recreative Fire-works","G. W. Mortimer","65"
"Installation and Operation Instructions For Custom Mark III CP Series Oil Fired Unit","Anonymous","65"
"Paper & paper making, ancient and modern","Richard Herring","65"
"Die Luftschiffahrt der Gegenwart (German)","Hermann Hoernes","64"
"Practical Graining, with Description of Colors Employed and Tools Used","William E. Wall","64"
"Steel :  a manual for steel users","William Metcalf","64"
"Werner von Siemens, der Begründer der modernen Elektrotechnik (German)","Artur Fürst","64"
"Photo-Lithography","Georg Fritz","64"
"Scientific American Supplement, No. 531, March 6, 1886","Various","64"
"The Daguerreian Journal, Vol. I, No. 8, March 1, 1851","Various","64"
"NorthWestNet User Services Internet Resource Guide (NUSIRG)","Jonathan Kochmer","64"
"Scientific American Supplement, No. 447, July 26, 1884","Various","64"
"The Tale of the Spinning Wheel","Elizabeth C. Barney Buel","64"
"Scientific American Supplement, No. 392, July 7, 1883","Various","63"
"Electric Gas Lighting: How to Install Electric Gas Ignition Apparatus","H. S. Norrie","63"
"Scientific American, Volume 17, No. 26 December 28, 1867","Various","63"
"The Atlantic Telegraph (1865)","Sir William Howard Russell","63"
"The Sewerage of Sea Coast Towns","Henry Charles Adams","63"
"The platinum metals","Arthur Douglas Lumb","63"
"A Project for Flying: In Earnest at Last!","Robert Hardley","63"
"Practical Pointers for Patentees","Franklin Allison Cresee","63"
"Furniture upholstery for schools","Emil Aldren Johnson","63"
"HomeBrew HomePages Put YOU on the World Wide Web","Anonymous","63"
"Pikku haltijoita (Finnish)","Harriet Beecher Stowe","62"
"How Two Boys Made Their Own Electrical Apparatus","Thomas M. St. John","62"
"Practical Rules for the Management of a Locomotive Engine","Charles Hutton Gregory","62"
"Improvement in Fire-Arms and in the Apparatus Used Therewith","Samuel Colt","62"
"The Daguerreian Journal, Vol. II, No. 2, June 1, 1851","Various","62"
"Stories of Invention, Told by Inventors and their Friends","Edward Everett Hale","62"
"Invention and Discovery: Curious Facts and Characteristic Sketches","Anonymous","62"
"Rules and Practice for Adjusting Watches","Walter J. Kleinlein","62"
"Hosiery Manufacture","M.A. William Davis","62"
"A Fortran Program for Elastic Scattering Analyses with the Nuclear Optical Model","Michel A. Melkanoff, David S. Saxon, John S. Nodvik, and David G. Cantor","62"
"Patent Laws of the Republic of Hawaii","Hawaii","62"
"Scientific American Supplement, No. 586, March 26, 1887","Various","62"
"Instruction book on ring spinning","Francis L. Lincoln","62"
"Famous Days in the Century of Invention","Gertrude L. Stone and M. Grace Fickett","62"
"Tappet and Dobby Looms: Their Mechanism and Management","Thomas Roberts","62"
"The American Journal of Photography, Vol. XI, No. 7, July 1890","Various","61"
"The Theory and Practice of Brewing","Michael Combrune","61"
"Appletons' Popular Science Monthly, January 1900","Various","61"
"Practical Methods of Sewage Disposal for Residences, Hotels and Institutions","Henry N. Ogden and H. Burdett Cleveland","61"
"Scientific American Supplement, No. 481, March 21, 1885","Various","61"
"Scientific American Supplement, No. 363, December 16, 1882","Various","61"
"L'A. B. C. de l'aviation: Biplans et monoplans (French)","Louis Gastine","60"
"The Puering, Bating & Drenching of Skins","Joseph Turney Wood","60"
"Scientific American Supplement, No. 832,  December 12, 1891","Various","60"
"The Romance of Rubber","United States Rubber Company","60"
"Essay on art and photography","A. V. Sutton","60"
"Aviation Book","Haywood Leslie Davis","60"
"Natural & Artificial Sewage Treatment","Alfred Stowell Jones and H. Alfred Roechling","60"
"The Rural Motor Express","United States. Council of National Defense. Highways Transport Committee","60"
"Model Aeroplanes and Their Engines: A Practical Book for Beginners","George Anthony Cavanagh","60"
"The Oak Ridge ALGOL Compiler for the Control Data Corporation 1604","L. L. Bumgarner","59"
"Lichtbild- und Kino-Technik (German)","Franz Paul Liesegang","59"
"Satellite Communications Physics","N/A","59"
"Die Akkumulatoren: ihre Theorie, Herstellung, Behandlung und Verwendung. (German)","Willibald Bermbach","59"
"The Popular Science Monthly, July, 1900","Various","59"
"Scientific American Supplement, No. 417, December 29, 1883","Various","59"
"Petit bréviaire de la Gourmandise (French)","Laurent Tailhade","59"
"Die Casting: Dies—Machines—Methods","Chester L. Lucas","59"
"Jacquard Machines: Instruction Paper","H. William Nelson","58"
"Plain Concrete for Farm Use","T. A. H. Miller","58"
"The Story of the Atlantic Telegraph","Henry M. Field","58"
"Material Classification","United States. Railroad administration. Division of finance","58"
"Outspinning the Spider: The Story of Wire and Wire Rope","John Kimberly Mumford","58"
"Zenith Television Receiver Operating Manual","Anonymous","58"
"C.A. Coey's School of Motoring, 1424-26 Michigan Ave. Chicago","Charles Andrew Coey","58"
"Scientific American Supplement, No. 601, July 9, 1887","Various","57"
"The Popular Science Monthly, September, 1900","Various","57"
"Pneumatic conveying","Ernest George Phillips","57"
"The Train Wire: A Discussion of the Science of Train Dispatching","John Alexander Anderson","57"
"The American Electro Magnetic Telegraph","Alfred Vail","57"
"Lecture on Artificial Flight","William G. Krueger","57"
"Scientific American Supplement, No. 470, January 3, 1885","Various","57"
"Keeping Down the Cost of Your Woodwork","Curtis Companies","57"
"Hoisting Appliances","International Correspondence Schools","57"
"Careers in Atomic Energy","Loyce J. McIlhenny","57"
"American Horological Journal, Vol. I, No. 1, July 1869: Devoted to Pratical Horology","N/A","57"
"A Short List of Scientific Books Published by E. & F. N. Spon, Limited. June 1913","E. & F. N. Spon","57"
"Benjamin Franklin and the First Balloons","Benjamin Franklin","57"
"Scientific American Supplement, No. 611, September 17, 1887","Various","56"
"The Popular Science Monthly, August, 1900","Various","56"
"Gas Burners Old and New","Owen Merriman","56"
"Le Livre 010101, Tome 1 (1993-1998) (French)","Marie Lebert","56"
"De l'imprimé à Internet (French)","Marie Lebert","56"
"Scientific American Supplement, No. 810, July 11, 1891","Various","56"
"Scientific American Supplement, No. 275, April 9, 1881","Various","56"
"Appletons' Popular Science Monthly, August 1899","Various","56"
"Scientific American Supplement, No. 648, June 2, 1888.","Various","56"
"How Paper Boxes Are Made","Robert F. Salade","55"
"The Science of Brickmaking","George Frederick Harris","55"
"Scientific American Supplement, No. 1178, June 25, 1898","Various","55"
"Scientific American Supplement, No. 595, May 28, 1887","Various","55"
"Glass Manufacture","Walter Rosenhain","55"
"Nouveau moyen de préparer la couche sensible des plaques destinées à recevoir les images photographiques (French)","Louis Jacques Mandé Daguerre","55"
"Scientific American Supplement, No. 421,  January 26, 1884","Various","55"
"The Gasoline Motor","Harold Whiting Slauson","55"
"Scientific American Supplement, No. 312, December 24, 1881","Various","54"
"A Description of a New-Invented Stove-Grate","J. Durno","54"
"The Popular Science Monthly, June, 1900","Various","54"
"Bromoil printing and bromoil transfer","Emil Mayer","54"
"Transactions of the American Society of Civil Engineers, vol. LXVIII, Sept. 1910, Start/End Papers","Various","54"
"Vacuum cleaning systems :  A treatise on the principles and practice of mechanical cleaning","M. S. Cooley","53"
"Bangerter's Inventions; His Marvelous Time Clock","N/A","53"
"Bamboo, Considered as a Paper-making Material","Thomas Routledge","53"
"Scientific American, September 29, 1883 Supplement. No. 404","Various","53"
"Scientific American Supplement, No. 530, February 27, 1886","Various","53"
"A Practical Manual of the Collodion Process, Giving in Detail a Method For Producing Positive and Negative Pictures on Glass and Paper.","S. D. Humphrey","52"
"Scaffolding :  a treatise on the design & erection of scaffolds, gantries, and stagings, with an account of the appliances used in connection therewith for the use of contractors, builders, clerks of works, etc., with a chapter on the legal aspect of the question","A. G. H. Thatcher","52"
"Linotype mechanism","Alvin Garfield Swank and Raymond Means","52"
"The Fifteen Watt Tungsten Lamp","Clair Elmore Anderson","51"
"Great Western Railway Instructions","William Wylie Grierson","51"
"The Manufacture of Tomato Products","W. G. Hier","51"
"Transient","William Harris","51"
"Le multilinguisme sur le Web (French)","Marie Lebert","51"
"Transactions of the American Society of Civil Engineers, vol. LXX, Dec. 1910","Eugene Klapp","51"
"The Economy of Workshop Manipulation","John Richards","51"
"Appletons' Popular Science Monthly, September 1899","Various","51"
"Design of a Steel Railroad Warehouse","Louis Liston Tallyn","51"
"The Engineering Contributions of Wendel Bollman","Robert M. Vogel","51"
"The Aviator and the Weather Bureau","Ford A. Carpenter","51"
"Cotton Manufacturing","Christopher Parkinson Brooks","50"
"Water Power for the Farm and Country Home","David R. Cooper","50"
"The Library of Work and Play: Electricity and Its Everyday Uses","John F. Woodhull","50"
"Scientific American Supplement, No. 324, March 18, 1882","Various","50"
"The Problem of Manflight","James Means","50"
"Ditching Procedure, B-29s with Four-Gun Turret","United States. Army Air Forces","49"
"Descriptive Pamphlet of the Richmond Mill Furnishing Works","Richmond Mill Furnishing Works","49"
"Delco Radio Owner's Manual Model 633; Delcotron Generator Installation","Delco-Remy Corporation","49"
"Address by Honorable Franklin K. Lane, Secretary of the Interior at Conference of Regional Chairmen of the Highways Transport Committee Council of National Defense","United States. Council of National Defense. Highways Transport Committee","49"
"The Century of Inventions of the Marquis of Worcester","Marquis of Edward Somerset Worcester","49"
"Scientific American Supplement, No. 492, June 6, 1885","Various","49"
"Scientific American Supplement, No. 620,  November 19,1887","Various","48"
"The telephone :  a lecture entitled Researches in electric telephony","Alexander Graham Bell","48"
"Scientific American Supplement, No. 430, March 29, 1884","Various","48"
"The Art of Lead Burning","C. H. Fay","48"
"Appletons' Popular Science Monthly, May, 1900","Various","48"
"The Thompson-Houston System of Electric Lighting","H. T. Cory","48"
"Lace Curtain Cleaning: A Successful Home Business","Sarah Ann Leigh","47"
"""Undo"": A Novel","Joe Hutsko","47"
"Booknología: El libro digital (1971-2010) (Spanish)","Marie Lebert","47"
"Return-Loads Bureaus to Save Waste in Transportation","United States. Council of National Defense. Highways Transport Committee","46"
"Appletons' Popular Science Monthly, May 1899","Various","46"
"Appletons' Popular Science Monthly, November 1899","Various","46"
"Report of the Hoosac Tunnel and Troy and Greenfield Railroad, by the Joint Standing Committee of 1866.","Tappan Wentworth","46"
"Scientific American Supplement, No. 803, May 23, 1891","Various","45"
"Scientific American Supplement, No. 303, October 22, 1881","Various","45"
"Le Circuit de l'Est [programme] (French)","Commune de Amiens/Nancy","44"
"Entrevistas (1998-2001) (Spanish)","Marie Lebert","44"
"Scientific American Supplement, No. 613, October 1, 1887","Various","43"
"Report of the Several Works Connected with the Draining, Paving & Lighting the Parish of Saint Mary Abbotts, Kensington, 1856","James Broadbridge","43"
"Something about sugar :  Its history, growth, manufacture and distribution","George M. Rolph","43"
"Scientific American Supplement, No. 441, June 14, 1884.","Various","42"
"Big Ben Clock Tower of Westminster","N/A","42"
"The Drama of Glass","Kate Field","42"
"Pulp and Paper Magazine, Vol. XIII, No. 20, October 15, 1916","Various","41"
"Airplane Boys at Platinum River","E. J. Craine","41"
"Natural Stability and the Parachute Principle in Aeroplanes","W. LeMaitre","40"
"Automobiel-rijden (Dutch)","Tom Schilperoort","39"
"Report on the Plans of the Various Railways before the Examiners of the House of Commons, 1864, so far as relates to the Parish of Kensington","James Broadbridge","39"
"Lightning Rod Conference","N/A","39"
"Scientific American Supplement, No. 385, May 19, 1883","Various","39"
"Things to Know About Trade-Marks: A Manual of Trade-Mark Information","J. Walter Thompson Company","38"
"Wireless Transmission of Photographs","Marcus J. Martin","37"
"The Journal of Electricity, Power and Gas, Volume XX, No. 18, May 2, 1908","Various","35"
"Electricity and Progress","Thomas A. Edison","34"
"Transactions of the American Society of Civil Engineers, vol. LXX, Dec. 1910","John Howell Griffith","33"
"Specifications for street roadway pavements","Samuel Whinery","32"
"Central-Station Electric Lighting","Killingworth Hedges","32"
"El Presidente Díaz al Señor Edison (Spanish)","Porfirio Díaz","30"
"Plaque No. 1","Losey's Orchestra","30"
"The Dry Collodion Process","Charles A. Long","29"
"The Art of Graining: How Acquired and How Produced.","Charles Pickert and A. Metcalf","29"
"On the relation which ought to subsist between the strength of an electric current and the diameter of conductors, to prevent overheating","George Forbes","27"
"Discussion on Edison's Monoid Theory","Theodore M. Edison","27"
"The Birth of the Telephone","Thomas Augustus Watson","21"
"Plaque No. 2","Losey's Orchestra","20"
"Plaque No. 6","Losey's Orchestra","20"
"Transcontinental Telephone Address to Thomas A. Edison","Miller Reese Hutchinson","19"
"To Edison from Colonel Gouraud, Introducing Mr. Gladstone","N/A","15"
"Remarks from a Visit to Edison Laboratory","Josephus Daniels","12"
"Words of Welcome","Garret A. Hobart","11"
"Remarks from a Visit to Edison Laboratory","Nelson Appleton Miles","11"
